one,1386
also,1379
new,1239
first,1207
states,1168
time,924
may,906
two,871
can,862
used,858
s,851
us,773
many,768
state,688
united,668
years,658
however,645
people,634
war,624
number,621
world,620
use,610
will,580
government,566
said,515
made,508
later,499
called,489
american,481
including,479
court,472
th,462
day,452
national,448
three,447
part,442
since,436
well,431
music,427
public,418
million,406
law,405
work,404
known,393
rnh,393
often,392
although,379
year,379
became,377
city,376
several,374
gold,374
found,373
according,372
second,371
film,357
life,355
another,355
like,352
union,350
early,349
even,346
york,346
much,345
south,337
released,337
country,326
century,325
show,324
form,320
around,319
following,318
group,318
without,317
international,317
began,315
way,313
end,311
general,310
population,309
human,308
president,308
high,303
album,302
system,301
needed,300
power,300
act,299
rights,299
within,298
using,293
p,292
death,289
military,288
example,285
among,284
different,284
google,284
european,283
history,282
series,281
based,281
men,280
major,278
political,278
information,277
north,276
support,276
large,274
case,272
flag,270
still,269
house,267
dna,266
published,266
four,266
now,265
jazz,265
took,264
single,263
congress,263
set,261
make,260
book,259
name,258
federal,258
september,257
led,253
term,253
april,253
army,252
back,251
place,251
service,251
march,249
song,247
times,246
june,244
countries,243
take,243
bison,242
free,240
europe,238
left,237
though,237
right,237
g,237
due,234
apple,234
person,233
john,233
long,232
civil,231
white,231
great,229
order,228
july,228
black,227
wrote,227
forces,226
days,225
process,225
knievel,225
others,224
report,222
british,222
control,222
per,221
given,220
just,219
came,218
considered,218
blues,218
five,217
point,217
original,217
third,215
areas,215
january,214
west,213
citation,212
announced,212
band,212
intelligence,212
must,211
social,210
december,210
october,209
last,209
game,209
article,208
small,208
become,207
november,207
english,207
crime,207
battle,207
less,206
groups,205
family,205
result,204
stated,204
see,203
period,203
reported,203
important,203
action,203
similar,202
halo,202
bin,202
age,201
home,201
language,201
western,200
program,200
biodiesel,199
common,198
along,197
party,197
security,197
land,196
production,195
cia,194
whether,193
august,193
force,192
modern,191
included,191
area,190
main,190
man,190
search,188
held,187
total,186
final,186
old,186
individual,185
popular,184
members,183
chicago,183
taken,182
legal,182
months,181
water,180
release,180
constitution,180
easter,179
next,178
written,178
georgia,178
children,177
every,177
former,177
company,177
soldiers,177
immigrants,176
convention,176
late,175
upon,175
local,175
nations,175
line,175
women,173
school,173
received,173
various,172
making,172
seven,172
research,172
official,172
thus,171
university,171
